N,P,K,temperature,humidity,ph,rainfall,label
136,36,24,22.74446976,80.41198458,7.59781958,90.07326633,Onions
134,56,18,23.80834611,83.91902605,6.691268104,70.97358303,Onions
112,54,15,25.46228792,81.56641891,6.175492306,76.88582484,Onions
105,56,15,25.96779712,81.97904282,7.272316209,74.14169043,Onions
140,45,15,25.5308271,80.04662756,5.801047545,99.39557151,Onions
126,46,25,24.43847399,81.69801729,6.757457943,60.79645852,Onions
106,49,24,23.03887865,76.47039772,6.983395573,90.64770699,Onions
121,53,19,23.51308653,76.72621429,7.976889498,80.11272117,Onions
108,60,17,22.75805656,76.75768356,6.558902588,97.76600619,Onions
116,56,17,24.71252544,77.7293114,7.979090365,85.24963302,Onions
100,52,19,23.45969093,82.44777468,7.903528673,93.50153555,Onions
129,43,16,25.5503704,77.85055621,6.73210948,78.58488484,Onions
118,44,23,22.08458267,82.82904143,6.691690476,67.06459777,Onions
117,43,25,24.68854799,78.51206972,7.839849298,69.31153566,Onions
126,37,21,25.84997269,84.16855231,6.61448588,77.03421249,Onions
120,48,16,22.46054478,75.40989245,7.456971816,71.85436078,Onions
102,45,16,23.65629976,77.52425987,7.2942193,74.8984994,Onions
131,56,20,22.00817088,81.83896111,7.762647875,92.23645249,Onions
114,40,17,24.32630461,80.13456404,6.363406102,69.45072055,Onions
101,37,18,22.92360984,82.68738535,7.63737841,92.91915074,Onions
106,46,20,23.43821725,78.63388824,6.200671976,81.15072105,Onions
113,38,20,22.10718988,78.58320116,6.364729934,74.94136567,Onions
102,53,21,23.03814028,76.11021529,6.913678684,91.49697481,Onions
110,39,18,24.54795322,75.39752705,7.766259769,63.88079866,Onions
107,58,15,23.73868041,75.77503808,7.55606399,76.63669195,Onions
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,Onions
91,21,26,26.33377983,57.36469955,7.261313694,191.6549412,Lettuce
107,21,26,26.45288458,55.32222678,7.235070264,144.6861336,Lettuce
83,38,35,25.70822684,52.88667115,7.18915558,136.7325092,Lettuce
108,24,31,24.12832546,56.18107663,6.431899748,147.2757818,Lettuce
116,28,34,23.44372334,60.39523266,6.42321105,122.2103248,Lettuce
116,23,25,23.4123707,52.26994674,6.869720196,139.3670753,Lettuce
109,31,27,23.05951896,50.40609436,6.973839707,164.4971875,Lettuce
89,25,34,23.07895447,63.65861483,7.184801627,129.8765443,Lettuce
118,18,32,27.6496114,51.11044023,6.351823783,122.8392822,Lettuce
111,32,34,25.46743689,69.35161206,6.392048018,171.3764462,Lettuce
84,36,28,26.7350622,55.55164819,6.119892347,140.6305213,Lettuce
85,33,25,26.20811417,52.50987966,6.910823945,189.0944824,Lettuce
99,15,27,27.0424167,57.27927475,6.501157208,165.6872119,Lettuce
81,30,31,24.65090184,51.93952357,7.027585559,135.1386537,Lettuce
95,39,29,27.35152643,55.99375012,7.13411409,148.9812525,Lettuce
81,34,30,25.17787724,62.26244581,6.647765997,135.0119649,Lettuce
80,15,28,23.11438731,68.00096043,6.703270635,161.8944624,Lettuce
104,20,26,27.22783677,52.95261751,7.493191968,175.7260273,Lettuce
109,29,28,23.26316991,60.5160021,6.724688503,194.1755471,Lettuce
100,32,26,25.234661,57.53161469,6.043485685,124.2261737,Lettuce
100,24,28,25.59535262,57.72920846,7.101661011,195.7733251,Lettuce
83,21,28,25.5674832,60.49244602,7.466900683,190.2257843,Lettuce
120,23,28,25.67324193,51.29043632,6.877799264,196.2736367,Lettuce
104,26,30,24.40726724,62.65692638,6.410992833,148.6977358,Lettuce
108,33,31,23.69287069,66.76090123,7.393825704,144.6576424,Lettuce
91,25,26,24.53460016,66.99765375,7.482414225,180.5059257,Lettuce
86,26,27,27.13140403,52.89368299,6.081172981,192.4280381,Lettuce
98,18,27,27.56088634,68.49299897,6.516312148,167.4358075,Lettuce
111,27,31,23.59302313,55.27564977,6.043330951,191.3980675,Lettuce
84,39,35,23.17714381,52.13864034,6.959404135,117.3113562,Lettuce
98,27,27,24.71384065,51.29142534,7.238109556,197.6439711,Lettuce
118,21,34,24.38534644,64.72543073,7.234258375,119.6324109,Lettuce
103,27,31,27.15998538,51.59100753,6.691541233,126.1752206,Lettuce
82,24,33,26.53543168,67.09608099,6.809593554,120.6494434,Lettuce
86,31,35,27.01207284,60.76645256,6.485761419,191.4508931,Lettuce
88,35,35,27.55906475,58.45742907,6.784460602,117.9389993,Lettuce
84,27,29,23.32293161,53.00366334,7.167092586,168.2644287,Lettuce
120,40,33,24.23850608,54.30329632,6.73410539,115.1564012,Lettuce
106,40,30,23.42611644,64.10651528,6.779984384,122.6847408,Lettuce
113,21,33,26.02241444,55.83288958,7.277422738,176.9020924,Lettuce
117,34,25,24.83846178,56.7685316,7.21270048,124.4135035,Lettuce
80,30,25,26.24092174,65.64381357,7.487266991,148.3771202,Lettuce
88,21,27,24.43011925,66.02411187,7.231166546,181.6368274,Lettuce
113,33,34,26.00373964,62.1445102,6.559817161,153.477776,Lettuce
87,23,28,26.22367404,62.26594559,6.979590627,193.7461968,Lettuce
113,15,29,27.09617155,63.55324262,6.779230041,190.2440566,Lettuce
98,29,30,25.64004392,61.03273481,6.217974349,199.4735636,Lettuce
97,29,27,27.74576987,54.36976075,7.205078785,139.8619431,Lettuce
85,35,32,26.24928198,54.28617819,6.854011265,133.1120232,Lettuce
82,29,35,26.67377159,52.24226285,6.246872394,156.1543898,Lettuce
103,33,25,27.10210397,55.7497332,6.911066044,139.5013171,Lettuce
112,17,28,27.62975458,61.26002598,6.777417989,196.6492664,Lettuce
99,19,33,27.5364547,55.51673151,6.273741983,130.6377143,Lettuce
120,20,34,23.56960509,50.56339727,6.906124587,130.3797119,Lettuce
114,27,28,24.99451759,57.93250202,7.162802357,192.8736822,Lettuce
100,40,35,27.56441788,54.41094079,6.955787351,177.816092,Lettuce
108,35,25,23.98143338,61.10935084,6.971963169,161.5279095,Lettuce
115,31,30,24.22984659,67.37768353,6.840927967,122.4073418,Lettuce
87,28,30,25.60153969,68.66257977,6.536676653,168.8383605,Lettuce
82,24,26,24.31274458,53.57285558,6.089443603,184.4103931,Lettuce
94,26,27,26.36629861,52.25738495,7.456460375,177.3176161,Lettuce
87,28,35,26.5602777,57.1621814,6.759211911,152.0616227,Lettuce
118,40,35,26.35034208,58.50650238,7.460174812,121.5586297,Lettuce
87,38,29,25.20406808,57.88370456,6.652642579,156.1457255,Lettuce
92,40,30,23.35723208,55.18792166,6.026287448,171.6976946,Lettuce
97,22,26,23.60567546,59.68849145,6.074190142,185.1568059,Lettuce
99,40,32,24.18471151,69.94807345,7.045543056,163.2708732,Lettuce
89,28,33,26.44414097,53.83876189,6.993236001,175.3723314,Lettuce
112,39,29,26.12492233,63.37479229,6.726528895,147.8035305,Lettuce
111,28,26,27.77363343,64.47858698,6.937352845,192.7121236,Lettuce
114,20,26,25.55656667,62.67087838,7.27905689,193.5866233,Lettuce
117,26,30,27.92374437,67.96910852,7.079850922,115.2325531,Lettuce
111,29,31,26.05968403,52.31098539,6.136286518,161.3432535,Lettuce
119,30,28,26.35770906,64.57578034,6.505203696,163.6269496,Lettuce
116,40,33,24.91370487,54.15319242,7.042089492,129.5481144,Lettuce
95,37,35,27.31317116,68.4233391,6.348337519,192.4288139,Lettuce
86,40,33,26.1387869,52.26311691,7.432322234,136.3027766,Lettuce
117,37,32,23.1069385,67.06230539,6.787658922,162.5769606,Lettuce
105,18,35,23.52648086,68.44030686,6.743417121,171.8839938,Lettuce
109,23,25,25.11711046,68.48030408,7.00733163,194.8773479,Lettuce
80,18,31,24.02952505,58.84880599,7.303033217,134.6803969,Lettuce
101,31,26,26.70897548,69.71184111,6.861235184,158.8608887,Lettuce
103,33,33,26.71717393,50.50148528,7.131435858,126.8073984,Lettuce
93,26,27,24.59245684,56.46829641,7.288211994,137.7044047,Lettuce
104,35,28,27.51006055,50.66687215,6.983732393,143.9955548,Lettuce
116,36,25,27.57847581,58.52534263,6.172090205,156.6810374,Lettuce
107,38,29,26.65069302,57.56695719,6.35118177,145.105065,Lettuce
101,33,33,26.97251562,62.0183627,6.908671379,142.8610793,Lettuce
107,31,31,23.17124551,52.97841162,6.766184468,153.1201644,Lettuce
99,16,30,23.52652084,65.44340921,6.392791654,186.1728203,Lettuce
103,40,30,27.30901814,55.196224,6.348316257,141.4831644,Lettuce
118,31,34,27.54823036,62.88179198,6.123796057,181.4170812,Lettuce
106,21,35,25.627355,57.04151119,7.428523634,188.5506536,Lettuce
116,38,34,23.29250318,50.04557009,6.020947179,183.468585,Lettuce
97,35,26,24.91461008,53.74144743,6.334610249,166.2549307,Lettuce
107,34,32,26.77463708,66.4132686,6.78006386,177.7745075,Lettuce
99,15,27,27.41711238,56.63636248,6.086922359,127.92461,Lettuce
118,33,30,24.13179691,67.22512329,6.362607851,173.3228386,Lettuce
117,32,34,26.2724184,52.12739421,6.758792552,127.1752928,Lettuce
104,18,30,23.60301571,60.39647474,6.779832611,140.9370415,Lettuce
